0,1,2,3,4
Not what I expected ,2.0, 23 July 2015 ," By
    
    Mehmet demir
  
 on 23 July 2015 ", Got these for birthday party. The look good in the add as the contained  48 tattoos of about 4 different kinds. Unfortunately when the arrived I had only 2 kinds. I got 4 of one kind and 44 of the other. Not very good is it. I haven't used then yet so don't know how long the last. Be careful when buying picture doesn't always match. 
Expensive for what it offers ,2.0, 3 Dec. 2009 ," By
    
    Comical Engineer
  
 on 3 Dec. 2009 "," Clips together easily and joins up with standard track. Note that it is a 3/4 length straight so you will almost certainly need some shorter straights to match it up. One major disappointment is that no additional track supports are supplied to slope the approach track up to the bridge, hence a bit of a rip of for the price.One comment regarding the seller jaldamracingmodels, this was delivered without the original box and hence was useless to give as a birthday present. I have had issues with this seller previously on ebay. You have been warned! "
Not Great ,2.0, 28 May 2013 ," By
    
    Tamara Green
  
 on 28 May 2013 ", Advertised for Micro Scalextric but strips were too big and we needed to cut them down to size. Were still not a good fit. 
How to short your flight time even more! ,2.0, 15 Dec. 2015 ," By
    
    ALAN CARTER
  
 on 15 Dec. 2015 "," I'm trying to pass on as many helpful tips that I can, information gleened from many many hours of fun crashing les & less as time goes on. I have a collection of about a dozen types of nano's and I have done quite a bit of experimenting with different props on all of them. These 3 bladed ones look the part and as they say are really very quiet, they cut down on the whine. However there is a downside, on my CX10C and also on my CX10A the battery life is cut from around 3-4 mins to about a minute. The quality is good enough but do you want to be limiting your flights to that short a period. They do look nice for display though, so if you have the cash to spare, give them a try. I did try some 3 bladed props on my bigger quads ( Hubsan X4 & JJRCf180 ) didnt have much success with those either. "
Not so great ,2.0, 10 Oct. 2013 ," By
    
    Mummabear
  
 on 10 Oct. 2013 ", Looks great when built but just pings apart as soon as you touch it & in a big way! I've now bought the plastic mystery machine & have this one just on a shelf. 
"Over complicated, defensive deck ",2.0, 8 Oct. 2007 ," By
    
    BA Banks
  
 on 8 Oct. 2007 "," I own pretty much every yu-gi-oh deck released, and i have to say this is comfortably the worst.Very defense minded,these cards are never going to cause any real damage to your opponent, except deflected dmage when they attack your face downs. Even in defense the lower level cars hold nothing more special than 2000, which is on par with the likes of Mystic Elf and Island Turtle.Yes Exodd master of the guard does have 4000 defense, but this is never going to win a duel for you. The only card that saves this deck from being a complete washout is the mighty Megarock dragon, powered up by 700 for every earth monster taken out of play but its own effect!And it is classed as a special summon! Too weak for my liking with basic cards such as shield and sword duplicated, would best be used when combined with an attacking biased deck such as Dinosaur's rage or my personal favorite Machine Revolt (Ignores trap cards and some spell). "
Only 8x4  in the pack instead of 9x4 ,2.0, 20 July 2015 ," By
    
    maggie
  
 on 20 July 2015 ", Unfortunately 1 packet which should have contained 9 packets of 4 bars only contained 8 so I was 4 bars short I didn;t want to order 36 more bars so then had to travel to my nearest town and couldn't find these bars anywhere. As I am retiring from our small village school I wanted all the children to receive the same but had to get something different for 1 year group which was very annoying! 
Not the best ,2.0, 31 May 2014 ," By
    
    V Wiltshire
  
 on 31 May 2014 "," Poor quality balloons - about 1/4 of them burst as they were blown up. Also, the pack was entirely tardis pictures, not a mixture as the picture shows. "
nothing like the colour shown ,2.0, 6 May 2013 ," By
    
    jacquied
  
 on 6 May 2013 "," I received these and thought they were the most ugly colour balloon I had ever seen. to be fair, it does describe them as Wild Berry colour but the picture shows a vibrant pink, which they are definately not! Couldn't be bothered to send them back but will not be using them for my daughter's birthday. "
"Bad quality, all popped within 30min ",2.0, 17 Sept. 2013 ," By
    
    MISS F L WALSH
  
 on 17 Sept. 2013 "," All popped before party started, very disappointing quality, such a shame as werent chrap. approached seller with feedback, told must have blown them up too much!! no refund offered. wouldnt buy from here again. Very disappointing. "
Two Stars ,2.0, 18 Aug. 2015 ," By
    
    Samatha amos
  
 on 18 Aug. 2015 ", Ordered this item and when delivered were not the same as in picture 
DIDN'T STAY UP! ,2.0, 7 Mar. 2016 ," By
    
    ChrisN
  
 on 7 Mar. 2016 "," Before purchasing I checked with the Seller that they were suitable for Helium or just to blow up, which they were. These balloons were part of the table decoration at our Daughter's wedding. After leaving them with the florist, I got a phone call from them advising that as these balloons are made of latex they would only stay up for about 12 hours. I purchased a Helium canister and blew them all up the night before, the wedding was at 10.30am so we did not have time to blow them up on the day. Unfortunately most of the balloons were laying on the table when we arrived at the reception. This is a shame as they are very pretty. I was really disappointed that the table didn't look as good as it should have done. I think this fact should be mentioned in the description, so be aware of this if you are not able to blow them up on the day. "
Happy with the quality and the colour of the balloons ... ,2.0, 21 Jun. 2015 ," By
    
    Miss N Spicer
  
 on 21 Jun. 2015 ", We're 'clear' as described but NOT as shown in the picture. Contacted seller and was told they were as clear as they go which may be true for the sellers products but not accurate for all products as proven in the photo used to promote this product. Felt that these were not as expected or described. Happy with the quality and the colour of the balloons I the end but not what I had hoped for. 
Disappointing ,2.0, 30 Dec. 2014 ," By
    
    amanda drewitt
  
 on 30 Dec. 2014 "," This arrived two weeks later than it was needed and it is very small.  This was supposed to be a size up to 10. My daughter is only 6 and it barely fits her. The satin around the top is yellowish and not white as shown. Still, buy cheap get cheap.  Lesson learned. "
I didn't like it much anyway but couldn't be bothered to send ... ,2.0, 18 Sept. 2015 ," By
    
    Jeannie
  
 on 18 Sept. 2015 "," I ordered a yellow watch but was sent an orange one instead without being asked if that's what I wanted.  I didn't like it much anyway but couldn't be bothered to send it back and gave it to a friend instead.  I ordered a different yellow watch from Menu Life but, at least, that time they told me yellow was out of stock and asked if I wanted another colour.  I declined the offer. "
Child's King Arthur Costume 3-5 yrs old ,2.0, 22 May 2012 ," By
    
    Lucinda Middleton
  
 on 22 May 2012 "," The costume arrived within a few days and my son was really excited about wearing his King Arthur outfit. Unfortunately, it is cheap material and unlikely to last very long - you'd probably refer to it as 'tat'.He's only worn it twice and it's already frayed in areas. He loves the outfit but I think it has been a waste of money - if only I was good at sewing! "
Not the right colour ,2.0, 17 Oct. 2013 ," By
    
    Eugene Beirne
  
 on 17 Oct. 2013 "," Not the right colour but a good model all the same... It's red in the photo but white when delivered, shame as my XKR is red hence the return. "
Very disappointed. Length of model should be stated in inches ... ,2.0, 3 Dec. 2015 ," By
    
    Mrs. J. Opie
  
 on 3 Dec. 2015 ", Far too small a model for a classic car. Very disappointed. Length of model should be stated in inches or centimetres so a proper assesment can be made by the buyer 
Quality control ,2.0, 1 April 2013 ," By
    
    Peter J
  
 on 1 April 2013 ", Parts of this model are poorly made in ways which cannot be corrected. Holes which locate parts are not in the right position. Holes which should align for correct pin location are skewed. Finish of components is generally substandard. A good model spoiled by poor attention to detail. 
Scratched glasses ,2.0, 3 Jan. 2016 ," By
    
    Moosefr87
  
 on 3 Jan. 2016 ", I bought these Christmas glasses for my office Christmas party. Unfortunately I was very disappointed: they look very cheap and the actuall glass was scratched (and not a small scratch). I needed them as soon as I received them so I had to use them otherwise I would have returned them. They lights work fine though. 
they were good quality material but I couldn't really wear due to ... ,2.0, 16 Aug. 2015 ," By
    
    Rebekah Fulton
  
 on 16 Aug. 2015 "," Didn't stay up and kept rolling down, cut into my feet and I walked, they were good quality material but I couldn't really wear due to the fact they would just roll down. "
"It's not Good, it's not Ugly - it's just Bad ",2.0, 19 Aug. 2015 ," By
    
    Tonto
  
 on 19 Aug. 2015 "," Bought this for my granddaughter who seems to like it and has added it to her extensive collection. Vastly overpriced and obviously reliant on a current craze, I honestly thought it was akin to something you would think twice about buying from a pound shop.The item came well packed but, the box it was in appeared to have kicked around the warehouse floor before actually finding its way in to the packaging.The ""glitter"" doesn't shimmer, sparkle or do anything in particular to justify its inclusion. I expected something like the old ""snowstorm"" paperweights that you used to shake, but the foil cut outs only decide to move very slowly upwards once it is held upside down and then fall equally slowly back to the feet again when turned upright. Shaking it does absolutely nothing to increase the movement and whoever designed it obviously did not have the time or inclination to carry out any serious research.I have given it two stars because my granddaughter appeared to like it although I did not see her actually play with it for long. For me it's less than one star, but then again I am someone who (probably unrealistically) expects a bit of thought and effort to go into things - even if they are ""only"" for children - rather than profiteering from the ""tat"" that this seems to be. "
Cheap so you get what you pay for ,2.0, 24 Sept. 2013 ," By
    
    Caroline Turner
  
 on 24 Sept. 2013 "," Not a great buy. But I suppose I should have expected that for the price. Figures are tiny and not great quality. Ok if you just want something cheap or for older kids. But I would not recommend them for younger children (my son is 3). I have now bought other figures in a Toys R Us store which I could look at and handle: they are good quality, large and reasonably priced. No complain about the seller- just not a great item. "
Knight ,2.0, 15 Jan. 2012 ," By
    
    MRS C M DAVEY-COBB
  
 on 15 Jan. 2012 ", Unfortunately this knight didn't last even the day. The shield came off and the sword snapped within a couple of hours.  This is a big disappointment and we will be looking at other brands in future. 
A bit of a disappointment ,2.0, 21 Nov. 2011 ," By
    
    Korina
  
 on 21 Nov. 2011 ", Djeco toys are usually really really good both in terms of quality and in terms of fun.  Unofrtunately this was a bit of a let down on both respects. 
Broke too easy. ,2.0, 30 Dec. 2015 ," By
    
    Martin
  
 on 30 Dec. 2015 "," I'm giving this only two stars because it's my second replacement and both times the hand broke off. But it does look good, shame about the hand. Would not have expected this from Papo. "
Colour changing car stopped colour changing ,2.0, 6 Dec. 2015 ," By
    
    #Deleted
  
 on 6 Dec. 2015 ", Kids were going crazy for this after watching it for months on youtube.  They're pricey but eventually they earned it and I bought it.  Unfortunately the colour shifting car stopped colour shifting after a couple of weeks.  Not sure why.  Just stopped in between orange and white - spotty and useless.  I always buy hotwheels as quality is almost always excellent.  This however is not.  It's pointless without the colour shifting and is now ignored. 
Fairly poor for the price ,2.0, 18 Jun. 2013 ," By
    
    Helen Barclay
  
 on 18 Jun. 2013 "," This is OK as a toy car goes and my little girl loves Postman Pat so she's happy but for the price it's fairly awful quality. The back doors don't open at all (they aren't designed to), and the side doors are very stiff and difficult to open. I think you'd be better off with another product this is too much money for too little quality. "
Product Description inaccurate ,2.0, 9 July 2013 ," By
    
    Bill A
  
 on 9 July 2013 "," Firstly let me say that this item was cheap, delivered on time and well packaged. However on inspection I failed to find any diecast parts in either the car or the caravan, the only metal I was able to see was the wheel axles which are of a stiff stainless steel wire rod and part of the wheel construction and four srews holding the parts together. However our grandson really likes this toy and for that reason I gave it four stars for education and fun, but "
Looks good but soon fell apart ,2.0, 13 July 2015 ," By
    
    Jacks
  
 on 13 July 2015 ", I bought these as a cake decoration so my 2 year old grandson to play with after.They looked really good and was initially happy with my purchase.I wouldn't recommend these as the have started to fall apart only a couple of weeks after his birthday 
Head fell out on the first day ,2.0, 4 Jan. 2014 ," By
    
    Junia Renata Thomson
  
 on 4 Jan. 2014 "," These are good looking little cars, however they are made of plastic and are really fragile. It is also a bit disappointing when your child cries complaining that 'Mario's head has fallen out!' on the first day of use. "
Bit disappointed ,2.0, 2 Jan. 2013 ," By
    
    TES78
  
 on 2 Jan. 2013 ", Bought these as a stocking filler and they fit the bill but they are not the same quality as the ones you can buy individually. The ones we picked up singly have metal body and underside - these ones have either a plastic body or a plastic base - not the same quality at all and not likely to last as long either. 
"Good quality, very happy ",2.0, 21 Feb. 2015 ," By
    
    Sandra Darlington
  
 on 21 Feb. 2015 "," This was a much wanted christmas present for my little granddaughter, she loves it!! Good quality, very happy. "
"Too small, size not specified clearly on the website ",2.0, 25 Dec. 2009 ," By
    
    M. Kasthuri
  
 on 25 Dec. 2009 ", It was too small. The size of the toy was not clearly mentioned on the website. 
Great puppet but.... ,2.0, 20 Sept. 2012 ," By
    
    The Uptons
  
TOP 1000 REVIEWER on 20 Sept. 2012 "," I have several of these puppets and most have this sort of fly away ""fur"" on them but this one shed so badly had to throw it away.  Couldn't give it to a kid for fear their parents would hate me for messing up their house with this stuff.  I mean it shed all over the place and the pinky parts were also covered with purple fur.  I have the bird of paradise with the same fur by the same puppet company but it doesn't shed. "
Holes in hands on arrival. ,2.0, 15 Aug. 2012 ," By
    
    Alex
  
 on 15 Aug. 2012 "," My daughter was so excited to get this toy and it is nice. However poorly stitched and there were holes in the hands on delivery. I would have returned, however she does not want to part with it, so i will sew. I am diappointed as it was quite expensive. "
Not built for playing with ,2.0, 15 July 2015 ," By
    
    A. Ayres
  
 on 15 July 2015 "," Bought 6 as kids party bag presents, 1 piece fell off within a day, so far I know of 2 that have completely broken (it's been less than a week since the party of 9 year olds left my house!) The kids liked them but I expected better quality for the price paid. "
Two Stars ,2.0, 19 July 2015 ," By
    
    Jan1974
  
 on 19 July 2015 "," Was very useful for my daughters birthday party,delivered very prompt "
Very Slow Delivery- missed occasion it was meant for. ,2.0, 23 Mar. 2014 ," By
    
    Mr R C Jones
  
 on 23 Mar. 2014 "," I ordered this as an extra for my wifes surprise disney party.  It missed the party altogether, despite me ordering this over 2 weeks before the date. All in all its took 5 weeks to arrive and to be honest I had forgotten about it.  Does the job- but as it missed the occasion it was meant for it was not much use to me. Decent quality but don't order if your in a hurry- you will be waiting for it to arrive for a while. "
Poor quality and value ,2.0, 2 Jun. 2015 ," By
    
    Reefer
  
 on 2 Jun. 2015 "," These thin plastic flags are nearly transparent so useless if hanging against a dark or patterned background.  Flags are also very widely spaced so you don't actually get that many flags for your 10m, just a lot of string! "
There aren't ten of these! ,2.0, 13 Nov. 2015 ," By
    
    Klaus
  
 on 13 Nov. 2015 "," Quality is fine, but I was very disappointed in the quantity. Why the item title has X10 in it when there is only one banner baffles me. When you dig into the item there is a sub heading that explains there is only one banner, but who actually gets this far when ordering? The item title is misleading and can surely be easily modified. "
"Monopoly is a great game, but this set is not what I expect ",2.0, 6 Oct. 2015 ," By
    
    Lisa
  
 on 6 Oct. 2015 ", The item fits the description. The box looks like its been through a tornado. It has been opened previously I believe or it is just a really old box and they reused it. Would have appreciated if it was stated it was used instead of NEW.On the bright side the cards look new and I'll be having lots of fun. 
good idea but its basically its just a pack of ... ,2.0, 23 July 2015 ," By
    
    Jim Morrison
  
 on 23 July 2015 "," good idea but its basically its just a pack of cards with one word written on the back..for example ""spiky"" and they have to find something spiky. You could easily make this at home yourself! Very expensive for what it is. "
Poor quality. ,2.0, 6 Jan. 2015 ," By
    
    Hazel Spence
  
 on 6 Jan. 2015 ", No problems at all with delivery. Unfortunately the set is poor quality and not really accurate to the amazon pics. Very basic carving detail which looks amateurish and the finish is poor and rough. At best this could be a children's board but not for me. 
not for me to random ,2.0, 6 Jan. 2015 ," By
    
    michael crowther
  
 on 6 Jan. 2015 ", got nothing i really wanted and for the price you could just get the cards you want sepretly i ended up with a miss match of cards with a few samurai cards 
NOT A TOY !!!!! ,2.0, 11 Dec. 2013 ," By
    
    Nimrod48
  
 on 11 Dec. 2013 "," This along with the other locomotives in this series is NOT A TOY but an adult collectable, but sadly as such falls down badly.It is almost all plastic even the rails, the driving wheels on my sample were stuck on at all sorts of odd angles & the rear tenderbuffers were pointing skywards. The cab front window is just an indent in the plastic & looks better painted flat black,I paid £15for my model which is all these are worth the build quality on a further three models that I ordered in this range was appalling& all went back for a refund this is definitely one series that must be examined closely before purchasing beware. "
Good looking but fragile. ,2.0, 19 Jan. 2015 , 1 of 1 people found the following review helpful ," This car looks great but, within a few minutes of being taken out of the box to look at one of the wing mirrors fell off. Even though this is a collectors model and maybe not meant to be played with I think it should be more robust than this. "
It looks very nice but in my opinion not £25 nice ,2.0, 23 Nov. 2015 ," By
    
    mumof4
  
 on 23 Nov. 2015 ", This car is tiny..... not much bigger than a match box car. I was expecting it to be a little bigger...!!It looks very nice but in my opinion not £25 nice :/ 
Bought this to get additional dino chargers for my sons ... ,2.0, 2 Jan. 2016 ," By
    
    shazza
  
 on 2 Jan. 2016 ", Bought this to get additional dino chargers for my sons other power rangers toy so ok for thar but as a stand alone toy 'What is point?''. Doesnt hold together well at all. pointless 
In Accurate Pachyrhinosaurus ,2.0, 4 Nov. 2015 ," By
    
    Rocker
  
 on 4 Nov. 2015 "," Papo Pachyrhinosaurus is not accurate the model lets itself considerably by the anklers on the frill, if you look at pictures or fossils of this dinosaur you will notice it never had these at all, so papo who usually produce good  models of dinosaurs have let themselves down with the frill area and the paint work is the standard papo grey seen on many of the dinosaurs they produce my advice is to leave this one well alone. So If you are after a Pachyrhinosaurus then look for the Wild Safari produced one like I have done, it's more accurate than this thank you. "
small! ,2.0, 25 Oct. 2014 ," By
    
    Andy
  
 on 25 Oct. 2014 "," This is not like the bigger ones which really transform, it only moves wheels to feet, mouth and tail move thats it, bigger ones transform completely, still got some catchy sounds tho, ok for a stocking filler. "
"Small sized figure with limited movement, hardly any sound and ours fell apart. ",2.0, 18 Feb. 2014 ," By
    
    JK
  
TOP 50 REVIEWERVINE VOICE on 18 Feb. 2014 "," I'm so disappointed with this toy. We really wanted to like Patchi and add him to our growing dinosaur collection unfortunately; within minutes his bottom jaw had broken off. Now that's bad enough when you're dealing with an excited little child who has been looking forward to the toy for weeks but, even before the jaw fell off, she was so disappointed with Patchi. He's credited as being a 'walking talking' dinosaur - he's not. Patchi is jointed in six different areas (legs, kneck and mouth) allowing for strictly limited, stiff movements. As for the talking - he actually makes quite a muted coughing sound when you press a square button on his back. He's not particularly well designed or well painted and has absolutely no 'WOW' factor. For the first time ever a dinosaur toy was left unloved, she doesn't even want a replacement, and we won't buy the others in the set. "
The product itself is absolutely fine. However ,2.0, 6 Oct. 2014 ," By
    
    Rhiannon Thomas
  
 on 6 Oct. 2014 "," The product itself is absolutely fine. However, it arrived 5 days after the latest estimated delivery date, which was also after the date of the party where it was due to be used. Consequently this was a complete waste of money for me. "
not worth the money ,2.0, 1 Sept. 2014 ," By
    
    jason green
  
 on 1 Sept. 2014 ", my daughter choose Doc mcstuffins art set for her birthday..My daughter pleased with it..However am disapointed the case..is very thin .The art stuff is good. 
The colours are lovely but the pencils are too thin ... ,2.0, 8 Feb. 2015 ," By
    
    oluwafunmi osewa
  
 on 8 Feb. 2015 ", The colours are lovely but the pencils are too thin for a child to hold. I can't send then to those I bought them for 
Owl came with 1 eye missing and looked like it had been banged a few times as had ... ,2.0, 2 Dec. 2015 ," By
    
    Nisha P.
  
 on 2 Dec. 2015 ", Owl came with 1 eye missing and looked like it had been banged a few times as had marks on front and back. Shame as bought for a present 
the size of the actual pen is very small more like the size of the free pen you get in ... ,2.0, 10 Dec. 2015 ," By
    
    Amazon Customer
  
 on 10 Dec. 2015 "," Sorry but I feel they are Not worth the money. the size of the actual pen is very  small more like the size of the free pen you get in Argos, the tips  are very thin you can only use them to write with not colour in a picture. "
Is there a pencil sharpener for this?! ,2.0, 16 Mar. 2015 ," By
    
    MRoal
  
 on 16 Mar. 2015 "," The pencils are great but after being used for a while, realised that no sharpener will, fit these bulky triangular pencils...so unless you want to sit with a knife to sharpen, wouldn't recommend. Wish I'd known.. "
Ink in the cartridges is minimal ,2.0, 8 Feb. 2014 ," By
    
    Mrs. H. C. Seward-porter
  
 on 8 Feb. 2014 "," I chose this rating, as when they arrived, the cartridges were not as the image shown above; they were in two packs of 25 cartridges. They fitted my fountain pen fine, but I looked at them a little more closely, and realised that inside the cartridges, they were a little less than 1/3 full of ink. You definitely get what you pay for! Consequently, because of this, they ran out extremely quickly, so I would not recommend them. "
Better spend more money ,2.0, 10 Jun. 2015 ," By
    
    M. J. Smitten
  
 on 10 Jun. 2015 "," Although I know it is not expensive, it should still do the job it is designed for. Since it tends to make the gimbals follow the gyro, it fails to maintain rigidity and topples before it has run down. Even as a toy it is therefore disappointing. When I was a young man I had a brilliant gyro and my family was not rich. "
bad quality ,2.0, 22 Jan. 2013 ," By
    
    vs
  
 on 22 Jan. 2013 "," This toolbox came with the workbench that we bought for our 6-year-old: the workbench is fine but some of the tools are such bad quality that they are useless and even dangerous: one of the clamps (plastic) immediately cracked and had to be thrown away, and the handle of the saw is split in the middle which means that the blade isn't fixed to it properly, so the saw had to go as well. The hammer, file and screwdriver seem fine, but we will now have to invest in proper tools to make sure the saw doesn't come apart whilst it's being used... I would not recommend this set, especially not for children: there will be tears, either because of disappointment or because they have hurt themselves. "
Very disappointing ,2.0, 28 Oct. 2013 ," By
    
    HarryT
  
 on 28 Oct. 2013 "," I bought this (along with a laser pegs set) for my grandsons birthday at his request. What a disappointment! The pieces are poorly made and feel cheap, there are lots of fiddly bits (unlike laser pegs where the pieces just click together), and it fell apart moments after assembly. I will definitely not be purchasing another set by Lite Brix. Very poor indeed! "
The Force is not with them... ,2.0, 21 Dec. 2015 ," By
    
    GStar1
  
 on 21 Dec. 2015 "," I bought this guy, Phasma and a First Order Stormtrooper for my Star Wars mad nephew but even though he was chuffed to bits with them, I had issues with the look of them. The Stormtrooper was very badly painted, Phasma looks good but is just painted grey not chrome but Ren was awful. The silver paint round his mask looked like it had been done by a heavy drinker with the DTs. His silver belt buckle wasn't even finished as half the silver was missing and don't get me started on the mixture of cloth and rubber for his costume. These figures aint cheap and my nephew picked up on the errors right away as he has most of the Black Series figures and most of them are really well presented. Are these figures shoddily done to quickly get them out in the shops by the time the movie hits theatres? It's a shame The Force Awakens Black Series figures are this badas the OT ones are really good. Give these a miss unless you can get them real cheap. "
Science and Play Kid's Garden ,2.0, 31 Jan. 2013 ," By
    
    ND
  
 on 31 Jan. 2013 ", I chose this product as a present and was very disappointed when the box was opened and part of the box content (ryegrass seeds) was missing. In my view the product is also overpriced for the plastic quality and content. It is also very difficult if not impossible for a child 4+ years old to assemble the plastic figurines/pots due to an effort required to put the parts together. Very disappointing. 
wheelbarrow ,2.0, 19 July 2011 ," By
    
    Tina
  
 on 19 July 2011 "," The product arrived on time for my 2 year old Granddaughters birthday, it was a lot smaller than I thought it would be, and the mesh covering was a night mare to remove as the legs had been put in place trapping the mesh inside so resorted to trimming round it, the watering can is also very small and removed it from her as she trapped her hand  inside, however she loved the tools and enjoy helping me collect the rubbish and weeds in the garden. "
load of rubbish ,2.0, 5 May 2015 ," By
    
    Kelly
  
 on 5 May 2015 "," looks all pretty, but the tools themselves are crap! the fork broke within 2 minutes of use and i was only using it in my greenhouse on the small potted plants! terrible  stay away from these! "
Product ok ,2.0, 29 Nov. 2015 ," By
    
    Joy
  
 on 29 Nov. 2015 ", product ok but box was a bit beaten and flimsy so when it arrived and all the contents had fell out so didn't really look new! 
Puzzle fine but no glow! ,2.0, 27 Jan. 2013 ," By
    
    Mrs. C. L. Smith
  
 on 27 Jan. 2013 "," The jigsaw puzzle was tricky but doable for my 7 year old, with a bit of help for the first couple of goes. But he was really disappointed that even after shining a bright light on it and shutting all the curtains, it barely glowed at all. Puzzle is fine but the glow is disappointingly pathetic. "
... is much heavier than expected which gives it a nice weight and the wheels and paint finish are very ... ,2.0, 19 Dec. 2015 ," By
    
    Jen
  
 on 19 Dec. 2015 "," The car is much heavier than expected which gives it a nice weight and the wheels and paint finish are very well done. I love the size of it too.I bought this a present for someone else but as others reported that theirs arrived broken, so I opened it when it arrived and found one of the head lamps broken off and missing. It's not in the box so it must have been packed like that, which means I'm going to have to give someone a present that is not complete which sucks. And the stripes down the sides feel very flimsy and you can tell that they are going to break off quickly even with careful handling.Such a weird combination of quality and cheap finishes.As others have said, for the cost you would expect the doors to open at the very least. Or have the boys weapons on the seat, something that made it obvious that it was from the show and not just a regular Impala. With just a tiny bit more effort, this could have been a fantastic product. If they remade this product with those features I would buy one for myself in a heartbeat. "
Doesnt fit well on track ,2.0, 30 May 2014 ," By
    
    Vicky G
  
 on 30 May 2014 ", I would echo what dawn has already said. This engine will not move along at all on Ikea track. Moves ok in a straight line on other none branded wood track. I don't own any Biro or 'Thomas wooden railway' track so I cant speak for them.It also struggles around tight corners. However it goes well in straight line on the floor and because of that my son is very happy with it and battery operated Percy is his new 'best friend'. 
Really disappointing ,2.0, 20 July 2015 ," By
    
    Ben
  
 on 20 July 2015 ", Really disappointed with this. Some of the track was splintered and hadn't been sanded off properly so was very rough. The paint on the buildings was poor and chipped. The buildings are in pieces and velcro together - but the glue sticing sticking the velcro to the buildings has overspilt.Amazon sent a replacement but this was just as bad - for £50 I'd expect something better quality. 
Stocking Fillers ,2.0, 2 Feb. 2009 ," By
    
    PSY TING
  
 on 2 Feb. 2009 "," The intention was to use this as a stocking filler. But the particular piece that was delivered to me was a little lopsided - didn't have all 4 contact points of its wheels level, so it didn't run well. That was a  little disappointing. I did buy 2 others which are absolutely fab though. :) "
Disappointed with this product as thought the different dino chargers ... ,2.0, 12 Jan. 2016 ," By
    
    Db
  
 on 12 Jan. 2016 ", Disappointed with this product as thought the different dino chargers you buy enabled this part to make different sounds. It doesn't. Just had pre set sounds. Thought the point of buying the dino chargers was for this. Makes them not so good either. Could have been a really good toy as my son loves power rangers dino charge. 
Two Stars ,2.0, 23 Feb. 2015 ," By
    
    rishu
  
 on 23 Feb. 2015 ", Good. Delivered just  next day. My son is so happy to have his toy. 
Really disappointed ,2.0, 17 April 2012 ," By
    
    Mumoftwo
  
 on 17 April 2012 "," I brought the man to 'drive' my son's bruder tractor, as every tractor needs a driver!! How silly of me to think the 'bruder' person would fit into the 'bruder' tractor? So I thought, well it must fit in the 4X4 then!! NOPE. DOESN'T FIT THERE EITHER!!!! What's it for then??? I did buy a riding kit for the horse that came with 4X4 and trailer Hopefully he'll fit on that. We havn't tried yet as it's a pressie for his birthday so won't be having it just yet. Will keep you informed. But don't buy this product if you want a driver - they don't fit under the steering column and their heads squash against the ceiling.The figure fits on the saddle, yeah finally something they fit onto - however, quite wobbly??? "
Bad packing ,2.0, 7 Feb. 2015 ," By
    
    Lucas
  
 on 7 Feb. 2015 "," Disappointed in this one to be honest. The package itself was fine. Once opened the pop vinyl box which Opie was in was damaged. Bad for anyone who collects these and keeps them boxed, The Opi figure also has a scratch across his beard. There is also some scuffs and marks on his hat. Pictures uploaded for people to see. "
Dangerous cord ,2.0, 4 Aug. 2015 ," By
    
    3Parrots
  
 on 4 Aug. 2015 "," The product itself is great for pretend play. My 3 yr old loves it, especially the chip and pin card reader. The pretend money is a bit rubbish and there wasn't enough of it. The pretend food was just ok. The tins are not too bad, but the boxes are flimsy and already in my recycling bin.The main problem with this product is the plastic cord that attaches the till to the card reader. The cord is a few feet long and there is no breakaway safety feature.After I found my son with the cord around his neck, I cut the cord off. It's not needed and it serves no purpose. I don't know what Casdon was thinking by adding the cord. I suggest anyone who buys this to cut the plastic cord off ASAP. "
Good fun but not for long ,3.0, 13 Nov. 2011 ," By
    
    MrClicky
  
 on 13 Nov. 2011 "," My 2 year old loves chuggington so we decided to get her this set. To be fair i dont think there is much longevity with it and after a while my daughter played with the train itself rather than the train and track although it does still come out now and again. I had read some reviews that you have to keep building the track as it comes apart easily. I think that depends on if your child is heavy handed or not, i havent had to keep putting it back together but i could see that if a child was a bit heavy handed then you would be up and down all the time. I have taught my 2 year old to try and put it back together on her own and she can mangae to do some bits but does force them together if they are round the wrong way, but time will cure that. Overall yes im glad i got it for her and i dont regret buying it, there are better products out there or might be just worth getting them the trains on there own. "
Good ,3.0, 24 Oct. 2010 ," By
    
    part-timer
  
 on 24 Oct. 2010 "," It's ok, just a train to push around, doesn't go on it's own. Only has a couple of phrases on it's own. I only have 2 interactive trains, they say a few things to each other but not a lot. You would need everthing for it to say as much as it can! To be honest, my son would have been happy if it didn't say anything at all. He played with them when I first got them and now they don't get out of the toy box much, but that's just kids! "
Lovely toy but be specific when you order ,3.0, 4 Oct. 2010 ," By
    
    Karen Henderson
  
 on 4 Oct. 2010 "," I ordered this engin and 5 letters to spell a name as I thought it made a delightful christening gift, I had seen them in other peoples homes and knew its what I wanted. However when I received the letters they are green, blue, green, blue, red. Not the best mx of colours, I expected to receive one of each colour, but there is no yellow, the red letter on the end looks a bit odd. If I order again I would specify one of each colour. Also the letters on the carriages are not glued on they just come off which I had not expected. Not quite as robust as I had anticipated. "
